# A399138: a(8) >= 94 — 94 points in [0,7]^3, no three collinear (previous lower bound 93).
# Source: VM saturation-alg-1 (loyobondar-prod), ~/strata/n8_c11_ord4_94.txt, produced 2026-09-02 ~17:40 UTC by cube_strata.py (session saturation-cf, night 2->3.09.2026):
#   CP-SAT (OR-Tools) maximum of configurations invariant under the O_h subgroup stratum c11_ord4 (|H|=4 rot=2 inv=n), status FEASIBLE after 2400 s (not proven optimal within the stratum).
# Independent verification (session saturation-73, vtora): certs/no3_3d/verify_witness_lines.py 8 <file> 94 -> 134044 triples by integer cross products, 0 collinear;
#   second count (own cross-product loop) 0 collinear; 94 distinct points in range; kill-multiplicity min kappa = 2 (rigid: no single-point swap); exhaustive j<=3 exchange finds no 95.
# c08 and c11 witnesses are NOT equivalent under the 48 symmetries of the cube. Format: x y z per line.
# конвенция радиуса (lem-001, 03.09): «radius <= j» / «обмен ≤ j: нет» = глубина j исчерпывающего перебора exchange_search.py, не доказанный r(S) = min κ − 1
0 1 2
0 1 4
0 2 1
0 2 7
0 3 4
0 3 6
0 4 2
0 5 3
0 5 5
0 6 0
0 6 5
0 7 1
0 7 3
1 0 2
1 0 4
1 1 3
1 2 5
1 2 7
1 3 0
1 4 1
1 4 7
1 5 3
1 5 6
1 6 2
1 6 6
1 7 0
1 7 5
2 0 1
2 0 7
2 1 5
2 1 7
2 2 6
2 3 0
2 5 0
2 6 3
2 6 6
2 7 3
2 7 5
3 0 4
3 0 6
3 1 0
3 2 0
3 3 1
3 3 2
3 6 1
3 6 7
3 7 2
4 0 2
4 1 1
4 1 7
4 4 1
4 4 2
4 5 0
4 6 0
4 7 4
4 7 6
5 0 3
5 0 5
5 1 3
5 1 6
5 2 0
5 4 0
5 5 6
5 6 5
5 6 7
5 7 1
5 7 7
6 0 0
6 0 5
6 1 2
6 1 6
6 2 3
6 2 6
6 3 1
6 3 7
6 4 0
6 5 5
6 5 7
6 6 3
6 7 2
6 7 4
7 0 1
7 0 3
7 1 0
7 1 5
7 2 3
7 2 5
7 3 2
7 4 4
7 4 6
7 5 1
7 5 7
7 6 2
7 6 4
