# A399138: a(7) >= 73 — fifth inequivalent 73-point witness in [0,6]^3 with no three collinear.
# Source: cube_anneal.py v2 (T-model P ~ exp(-beta*T), parallel tempering, 9 replicas) run on VM saturation-alg-1, seed 14, T=0 reached at sweep 2706 (beta=13), 2026-09-02 ~17:35 UTC; session saturation-73 (vtora).
# Method independent of CP-SAT strata (saturation-cf) and of the 2026-08-20 destroy-and-repair witness.
# Verified: certs/no3_3d/verify_witness_lines.py 7 <file> 73 -> 62196 triples by integer cross products, 0 collinear; not equivalent under the 48 cube symmetries to the free 73 (witnesses/), nor to stratum witnesses c03, c04, c06=c18 (n7).
# Format: x y z per line.
0 1 2
0 1 4
0 2 1
0 2 2
0 3 6
0 4 0
0 4 4
0 5 0
0 5 3
0 6 1
0 6 3
1 0 1
1 0 3
1 1 0
1 1 1
1 2 0
1 2 5
1 3 5
1 4 6
1 5 2
1 5 4
1 6 3
1 6 6
2 0 3
2 0 4
2 1 5
2 1 6
2 2 0
2 2 5
2 4 2
2 4 4
2 5 0
2 6 2
3 0 0
3 0 2
3 1 6
3 2 6
3 3 5
3 5 1
3 6 0
3 6 5
4 0 4
4 1 0
4 1 1
4 3 0
4 4 6
4 5 1
4 5 6
4 6 4
4 6 5
5 0 2
5 1 3
5 1 5
5 2 6
5 3 0
5 3 4
5 4 0
5 4 1
5 5 4
5 5 6
5 6 1
5 6 2
6 0 1
6 1 3
6 1 4
6 2 1
6 2 4
6 3 2
6 3 6
6 4 2
6 4 5
6 5 3
6 5 5
